  [10/13/07 14:55:32] ----No VoiceCheck Test Start----
  [10/13/07 14:56:14] ----No VoiceCheck Test Start----
  [10/13/07 14:56:56] ------VoiceCheck Test Start------
  [10/13/07 15:28:40] ----No VoiceCheck Test Start----
 [10/13/07 15:29:01], DeviceID(2, 0) Err=5,Cause=0 
 [10/13/07 15:29:02], DeviceID(2, 1) Err=5,Cause=0 
 [10/13/07 15:29:03], DeviceID(2, 2) Err=5,Cause=0 
 [10/13/07 15:29:04], DeviceID(2, 3) Err=5,Cause=0 
 [10/13/07 15:29:05], DeviceID(2, 4) Err=5,Cause=0 
 [10/13/07 15:29:06], DeviceID(2, 5) Err=5,Cause=0 
 [10/13/07 15:29:07], DeviceID(2, 6) Err=5,Cause=0 
 [10/13/07 15:29:08], DeviceID(2, 7) Err=5,Cause=0 
 [10/13/07 15:29:09], DeviceID(2, 8) Err=5,Cause=0 
 [10/13/07 15:29:10], DeviceID(2, 9) Err=5,Cause=0 
 [10/13/07 15:29:11], DeviceID(2, 10) Err=5,Cause=0 
 [10/13/07 15:29:12], DeviceID(2, 11) Err=5,Cause=0 
 [10/13/07 15:29:13], DeviceID(2, 12) Err=5,Cause=0 
 [10/13/07 15:29:14], DeviceID(2, 13) Err=5,Cause=0 
 [10/13/07 15:29:15], DeviceID(2, 14) Err=5,Cause=0 
 [10/13/07 15:29:16], DeviceID(2, 15) Err=5,Cause=0 
 [10/13/07 15:29:17], DeviceID(2, 16) Err=5,Cause=0 
  [10/13/07 15:29:49] ----No VoiceCheck Test Start----
  [10/13/07 15:30:57] ----No VoiceCheck Test Start----
  [10/13/07 15:33:11] ----No VoiceCheck Test Start----
  [10/13/07 15:48:47] ----No VoiceCheck Test Start----
 [10/13/07 15:48:53], DeviceID(2, 13) Err=1,Cause=0 
  [10/13/07 15:50:20] ----No VoiceCheck Test Start----
 [10/13/07 15:50:21], DeviceID(1, 0) Err=4,Cause=0 
 [10/13/07 15:50:21], DeviceID(1, 1) Err=4,Cause=0 
 [10/13/07 15:50:21], DeviceID(1, 4) Err=4,Cause=0 
 [10/13/07 15:50:21], DeviceID(1, 5) Err=4,Cause=0 
 [10/13/07 15:50:21], DeviceID(1, 8) Err=4,Cause=0 
 [10/13/07 15:50:21], DeviceID(1, 9) Err=4,Cause=0 
 [10/13/07 15:50:21], DeviceID(1, 12) Err=4,Cause=0 
 [10/13/07 15:50:21], DeviceID(1, 13) Err=4,Cause=0 
 [10/13/07 15:50:21], DeviceID(1, 16) Err=4,Cause=0 
 [10/13/07 15:50:21], DeviceID(1, 17) Err=4,Cause=0 
 [10/13/07 15:50:21], DeviceID(1, 20) Err=4,Cause=0 
 [10/13/07 15:50:21], DeviceID(1, 21) Err=4,Cause=0 
 [10/13/07 15:50:21], DeviceID(1, 24) Err=4,Cause=0 
 [10/13/07 15:50:21], DeviceID(1, 25) Err=4,Cause=0 
 [10/13/07 15:50:22], DeviceID(1, 28) Err=4,Cause=0 
 [10/13/07 15:50:22], DeviceID(1, 29) Err=4,Cause=0 
 [10/13/07 15:50:22], DeviceID(1, 28) Err=4,Cause=0 
 [10/13/07 15:50:22], DeviceID(1, 29) Err=4,Cause=0 
 [10/13/07 15:50:28], DeviceID(1, 28) Err=4,Cause=0 
 [10/13/07 15:50:36], DeviceID(1, 29) Err=4,Cause=0 
  [10/13/07 15:51:26] ----No VoiceCheck Test Start----
 [10/13/07 15:51:26], DeviceID(1, 0) Err=4,Cause=0 
 [10/13/07 15:51:26], DeviceID(1, 1) Err=4,Cause=0 
 [10/13/07 15:51:26], DeviceID(1, 4) Err=4,Cause=0 
 [10/13/07 15:51:27], DeviceID(1, 5) Err=4,Cause=0 
 [10/13/07 15:51:27], DeviceID(1, 8) Err=4,Cause=0 
 [10/13/07 15:51:27], DeviceID(1, 9) Err=4,Cause=0 
 [10/13/07 15:51:27], DeviceID(1, 12) Err=4,Cause=0 
 [10/13/07 15:51:27], DeviceID(1, 13) Err=4,Cause=0 
 [10/13/07 15:51:27], DeviceID(1, 16) Err=4,Cause=0 
 [10/13/07 15:51:27], DeviceID(1, 17) Err=4,Cause=0 
 [10/13/07 15:51:27], DeviceID(1, 20) Err=4,Cause=0 
 [10/13/07 15:51:27], DeviceID(1, 21) Err=4,Cause=0 
 [10/13/07 15:51:27], DeviceID(1, 24) Err=4,Cause=0 
 [10/13/07 15:51:27], DeviceID(1, 25) Err=4,Cause=0 
 [10/13/07 15:51:27], DeviceID(1, 28) Err=4,Cause=0 
 [10/13/07 15:51:27], DeviceID(1, 29) Err=4,Cause=0 
  [10/13/07 15:51:49] ----No VoiceCheck Test Start----
 [10/13/07 15:51:50], DeviceID(1, 0) Err=4,Cause=0 
 [10/13/07 15:51:50], DeviceID(1, 1) Err=4,Cause=0 
 [10/13/07 15:51:50], DeviceID(1, 4) Err=4,Cause=0 
 [10/13/07 15:51:50], DeviceID(1, 5) Err=4,Cause=0 
 [10/13/07 15:51:50], DeviceID(1, 8) Err=4,Cause=0 
 [10/13/07 15:51:50], DeviceID(1, 9) Err=4,Cause=0 
 [10/13/07 15:51:50], DeviceID(1, 12) Err=4,Cause=0 
 [10/13/07 15:51:50], DeviceID(1, 13) Err=4,Cause=0 
 [10/13/07 15:51:50], DeviceID(1, 16) Err=4,Cause=0 
 [10/13/07 15:51:50], DeviceID(1, 17) Err=4,Cause=0 
 [10/13/07 15:51:50], DeviceID(1, 20) Err=4,Cause=0 
 [10/13/07 15:51:50], DeviceID(1, 21) Err=4,Cause=0 
 [10/13/07 15:51:50], DeviceID(1, 24) Err=4,Cause=0 
 [10/13/07 15:51:50], DeviceID(1, 25) Err=4,Cause=0 
 [10/13/07 15:51:50], DeviceID(1, 28) Err=4,Cause=0 
 [10/13/07 15:51:50], DeviceID(1, 29) Err=4,Cause=0 
 [10/13/07 15:51:50], DeviceID(1, 28) Err=4,Cause=0 
 [10/13/07 15:51:50], DeviceID(1, 29) Err=4,Cause=0 
 [10/13/07 15:51:51], DeviceID(1, 28) Err=4,Cause=0 
 [10/13/07 15:51:51], DeviceID(1, 29) Err=4,Cause=0 
 [10/13/07 15:51:51], DeviceID(1, 28) Err=4,Cause=0 
 [10/13/07 15:51:51], DeviceID(1, 29) Err=4,Cause=0 
 [10/13/07 15:51:51], DeviceID(1, 28) Err=4,Cause=0 
 [10/13/07 15:51:51], DeviceID(1, 29) Err=4,Cause=0 
 [10/13/07 15:51:51], DeviceID(1, 28) Err=4,Cause=0 
 [10/13/07 15:51:51], DeviceID(1, 29) Err=4,Cause=0 
 [10/13/07 15:51:52], DeviceID(1, 28) Err=4,Cause=0 
 [10/13/07 15:51:52], DeviceID(1, 29) Err=4,Cause=0 
 [10/13/07 15:51:52], DeviceID(1, 28) Err=4,Cause=0 
 [10/13/07 15:51:52], DeviceID(1, 29) Err=4,Cause=0 
 [10/13/07 15:51:52], DeviceID(1, 28) Err=4,Cause=0 
 [10/13/07 15:51:52], DeviceID(1, 29) Err=4,Cause=0 
 [10/13/07 15:51:52], DeviceID(1, 28) Err=4,Cause=0 
 [10/13/07 15:51:52], DeviceID(1, 29) Err=4,Cause=0 
 [10/13/07 15:51:59], DeviceID(1, 28) Err=4,Cause=0 
 [10/13/07 15:52:06], DeviceID(1, 29) Err=4,Cause=0 
  [10/13/07 15:52:54] ----No VoiceCheck Test Start----
 [10/13/07 15:52:54], DeviceID(1, 11) Err=4,Cause=0 
 [10/13/07 15:52:54], DeviceID(1, 12) Err=4,Cause=0 
 [10/13/07 15:52:55], DeviceID(1, 15) Err=4,Cause=0 
 [10/13/07 15:52:55], DeviceID(1, 16) Err=4,Cause=0 
 [10/13/07 15:53:01], DeviceID(1, 7) Err=4,Cause=0 
 [10/13/07 15:53:01], DeviceID(1, 10) Err=4,Cause=0 
 [10/13/07 15:53:01], DeviceID(1, 2) Err=4,Cause=0 
 [10/13/07 15:53:01], DeviceID(1, 8) Err=4,Cause=0 
 [10/13/07 15:53:01], DeviceID(1, 5) Err=4,Cause=0 
 [10/13/07 15:53:01], DeviceID(1, 1) Err=4,Cause=0 
 [10/13/07 15:53:01], DeviceID(1, 0) Err=4,Cause=0 
 [10/13/07 15:53:01], DeviceID(1, 9) Err=4,Cause=0 
 [10/13/07 15:53:01], DeviceID(1, 4) Err=4,Cause=0 
 [10/13/07 15:53:02], DeviceID(1, 3) Err=4,Cause=0 
 [10/13/07 15:53:02], DeviceID(1, 6) Err=4,Cause=0 
 [10/13/07 15:53:02], DeviceID(1, 3) Err=4,Cause=0 
 [10/13/07 15:53:02], DeviceID(1, 4) Err=4,Cause=0 
 [10/13/07 15:53:02], DeviceID(1, 3) Err=4,Cause=0 
 [10/13/07 15:53:02], DeviceID(1, 4) Err=4,Cause=0 
  [10/13/07 15:53:22] ----No VoiceCheck Test Start----
 [10/13/07 15:53:22], DeviceID(1, 0) Err=4,Cause=0 
 [10/13/07 15:53:23], DeviceID(1, 1) Err=4,Cause=0 
 [10/13/07 15:53:23], DeviceID(1, 4) Err=4,Cause=0 
 [10/13/07 15:53:23], DeviceID(1, 5) Err=4,Cause=0 
 [10/13/07 15:53:23], DeviceID(1, 8) Err=4,Cause=0 
 [10/13/07 15:53:23], DeviceID(1, 9) Err=4,Cause=0 
 [10/13/07 15:53:23], DeviceID(1, 12) Err=4,Cause=0 
 [10/13/07 15:53:23], DeviceID(1, 13) Err=4,Cause=0 
 [10/13/07 15:53:23], DeviceID(1, 16) Err=4,Cause=0 
 [10/13/07 15:53:23], DeviceID(1, 17) Err=4,Cause=0 
 [10/13/07 15:53:23], DeviceID(1, 20) Err=4,Cause=0 
 [10/13/07 15:53:23], DeviceID(1, 21) Err=4,Cause=0 
 [10/13/07 15:53:23], DeviceID(1, 24) Err=4,Cause=0 
 [10/13/07 15:53:23], DeviceID(1, 25) Err=4,Cause=0 
 [10/13/07 15:53:23], DeviceID(1, 28) Err=4,Cause=0 
 [10/13/07 15:53:23], DeviceID(1, 29) Err=4,Cause=0 
 [10/13/07 15:53:23], DeviceID(1, 28) Err=4,Cause=0 
 [10/13/07 15:53:23], DeviceID(1, 29) Err=4,Cause=0 
  [10/13/07 15:54:49] ----No VoiceCheck Test Start----
 [10/13/07 15:54:49], DeviceID(1, 0) Err=4,Cause=0 
 [10/13/07 15:54:50], DeviceID(1, 1) Err=4,Cause=0 
 [10/13/07 15:54:50], DeviceID(1, 4) Err=4,Cause=0 
 [10/13/07 15:54:50], DeviceID(1, 5) Err=4,Cause=0 
 [10/13/07 15:54:50], DeviceID(1, 8) Err=4,Cause=0 
 [10/13/07 15:54:50], DeviceID(1, 9) Err=4,Cause=0 
 [10/13/07 15:54:50], DeviceID(1, 12) Err=4,Cause=0 
 [10/13/07 15:54:50], DeviceID(1, 13) Err=4,Cause=0 
 [10/13/07 15:54:50], DeviceID(1, 16) Err=4,Cause=0 
 [10/13/07 15:54:50], DeviceID(1, 17) Err=4,Cause=0 
 [10/13/07 15:54:50], DeviceID(1, 20) Err=4,Cause=0 
 [10/13/07 15:54:50], DeviceID(1, 21) Err=4,Cause=0 
 [10/13/07 15:54:50], DeviceID(1, 24) Err=4,Cause=0 
